ID,AÑO,MES,DIA MES,DIA SEMANA,EDAD,SEXO,ESTADO CIVIL,CIUDAD,PAIS,HORA,MUNICIPIOH,DEPARTAMENTOHECHO,BARRIOHECHO,DIRECCION ,ÁREA HECHO,CONDICION VICTIMA,VEHICULO1,SERVICIO,CLASE ACCIDENTE,Dir_Concatenada,localizacion,punto,lat,long,alt
1643,2009,11,14,7,40,M,SOLTERO (A),CALI,COLOMBIA,11.0,SANTIAGO DE CALI,VALLE DEL CAUCA,SIN DATO,CALLE 18 ENTRE CRAS 108 Y 106,Urbano,CONDUCTOR,CAMPERO,PARTICULAR,ATROPELLO,"CALLE 18 ENTRE CRAS 108 Y 106, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
337,2007,8,7,3,28,M,SIN INFORMACION,CALI,COLOMBIA,18.0,SANTIAGO DE CALI,VALLE DEL CAUCA,CIUDAD JARDIN,CALLE 18 NRO 121-30B,Urbano,PEATON,,,ATROPELLO,"CALLE 18 NRO 121-30B, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1754,2012,7,26,5,86,M,UNION LIBRE,CALI,COLOMBIA,7.0,SANTIAGO DE CALI,VALLE DEL CAUCA,LAS ACACIAS,CALLE 18B CON CRA 25,Urbano,PEATÓN,NO APLICA,SIN INFORMACIÓN,ATROPELLO,"CALLE 18B CON CRA 25, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1035,2010,10,9,7,37,M,SOLTERO (A),CALI,COLOMBIA,,SANTIAGO DE CALI,VALLE DEL CAUCA,SANTA ROSA,CALLE 19 CON CRA 10,Urbano,PEATON,NO APLICA,SIN INFORMACION,ATROPELLO,"CALLE 19 CON CRA 10, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
436,2007,12,27,5,58,F,SIN INFORMACION,CALI,COLOMBIA,0.0,SANTIAGO DE CALI,VALLE DEL CAUCA,BELALCAZAR,CALLE 19 CRA 17 C,Urbano,PEATON,,,ATROPELLO,"CALLE 19 CRA 17 C, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1668,2010,1,8,6,71,M,CASADO (A),CALI,COLOMBIA,11.0,SANTIAGO DE CALI,VALLE DEL CAUCA,SIN DATO,CALLE 1C  FRENTE  AL  #71-10,Urbano,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHICULO,"CALLE 1C  FRENTE  AL  #71-10, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
268,2007,4,17,3,29,M,UNION LIBRE,CALI,COLOMBIA,0.0,SANTIAGO DE CALI,VALLE DEL CAUCA,NAPOLES,CALLE 2 C CRA 80,Urbano,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CAIDA DOCUPANTE,"CALLE 2 C CRA 80, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1015,2010,9,5,1,26,M,SIN INFORMACION,CALI,COLOMBIA,10.0,SANTIAGO DE CALI,VALLE DEL CAUCA,,CALLE 2 CARRERA 116-119,Urbano,CONDUCTOR,BICICLETA,PARTICULAR,CHOQUE CON OTRO VEHICULO,"CALLE 2 CARRERA 116-119, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1128,2011,7,15,6,62,M,SOLTERO (A),CALI,COLOMBIA,6.0,SANTIAGO DE CALI,VALLE DEL CAUCA,ND,CALLE 2 CON CARRERA 66 A 67,Urbano,CONDUCTOR,BICICLETA,PARTICULAR,CHOQUE CON OTRO VEHÍCULO,"CALLE 2 CON CARRERA 66 A 67, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1206,2011,12,15,5,27,M,CASADO (A),CALI,COLOMBIA,15.0,SANTIAGO DE CALI,VALLE DEL CAUCA,ND,CALLE 20 CON CARRERA 17D,Urbano,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHÍCULO,"CALLE 20 CON CARRERA 17D, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
